case_i,label,output,y_true,y_hf
8,post_lo_5,iteration2_max_fuel_temp,1070.58,1082.67
8,post_lo_5,iteration2_max_monolith_temp,1032.41,1045.98
8,post_lo_5,iteration2_max_global_stress,126.98,104.88
8,post_lo_5,iteration2_monolith_new_temperature,950.1694883680584,951.9586875436578
8,post_lo_5,iteration2_Hcore_after,152.31766477959815,151.86180868201222
8,post_lo_5,iteration2_wall2,29.924884035974145,29.86486885973063
8,post_mean,iteration1_avg_fuel_temp,1007.09,1010.94
8,post_mean,iteration1_max_fuel_temp,1087.44,1094.38
8,post_mean,iteration1_max_monolith_temp,1050.25,1058.16
8,post_mean,iteration1_max_global_stress,147.38,162.15
8,post_mean,iteration1_monolith_new_temperature,952.413786736436,953.612420845192
8,post_mean,iteration1_Hcore_after,152.3245999393179,152.22401675562
8,post_mean,iteration1_wall2,29.92672709344733,29.911350557293332
8,post_mean,iteration2_keff,1.104000926314725,1.1039132562097365
8,post_mean,iteration2_avg_fuel_temp,998.77,1000.81
8,post_mean,iteration2_max_fuel_temp,1070.58,1074.28
8,post_mean,iteration2_max_monolith_temp,1032.41,1036.65
8,post_mean,iteration2_max_global_stress,126.98,137.45
8,post_mean,iteration2_monolith_new_temperature,950.1694883680584,950.6982407632717
8,post_mean,iteration2_Hcore_after,152.31766477959815,152.21522541758574
8,post_mean,iteration2_wall2,29.924884035974145,29.909138607878457
9,post_hi_95,iteration1_avg_fuel_temp,1003.48,1006.13
9,post_hi_95,iteration1_max_fuel_temp,1080.81,1085.69
9,post_hi_95,iteration1_max_monolith_temp,1042.74,1048.26
9,post_hi_95,iteration1_max_global_stress,142.18,206.08
9,post_hi_95,iteration1_monolith_new_temperature,951.3482800575028,952.1242319594766
9,post_hi_95,iteration1_Hcore_after,152.4471052749424,152.63548490008165
9,post_hi_95,iteration1_wall2,29.933338020732467,29.95619212987246
9,post_hi_95,iteration2_keff,1.1030193051376949,1.1022668785021998
9,post_hi_95,iteration2_avg_fuel_temp,996.43,998.41
9,post_hi_95,iteration2_max_fuel_temp,1065.58,1069.46
