level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,nu,"(0.3167, 0.3343]",87,iteration2_keff,iter2,primary,0.32497002389558444,0.3171521155612431,0.3341387608195781,0.00019115255257460452,0.00024981275089100115,1.1035207584874573,1.1035192012786865,0.0003469029677075163,0.9770114942528736
2,nu,"(0.3167, 0.3343]",87,iteration2_max_fuel_temp,iter2,primary,0.32497002389558444,0.3171521155612431,0.3341387608195781,3.40202075475934,4.14384144997641,1073.724367816092,1073.9632568359375,4.2154621183570775,0.9195402298850575
2,nu,"(0.3167, 0.3343]",87,iteration2_max_monolith_temp,iter2,primary,0.32497002389558444,0.3171521155612431,0.3341387608195781,3.7961651400862055,4.707110251365505,1036.0628735632183,1036.3450927734375,4.716060759787262,0.896551724137931
2,nu,"(0.3167, 0.3343]",87,iteration2_max_global_stress,iter2,primary,0.32497002389558444,0.3171521155612431,0.3341387608195781,5.848262665847253,7.4343259523516565,160.5642528735632,161.55758666992188,7.982014775068076,0.9425287356321839
2,nu,"(0.3167, 0.3343]",87,iteration2_wall2,iter2,primary,0.32497002389558444,0.3171521155612431,0.3341387608195781,0.0009229183980552476,0.0011149711915616179,29.921716130454946,29.92202377319336,0.0030212046002673016,1.0
2,nu,"(0.3343, +inf)",87,iteration2_keff,iter2,primary,0.34891715025061737,0.3350294074976929,0.3859097188879647,0.00020173228519841833,0.00025895154172826467,1.103376490566952,1.1033633947372437,0.00034489619272726565,0.9540229885057471
2,nu,"(0.3343, +inf)",87,iteration2_max_fuel_temp,iter2,primary,0.34891715025061737,0.3350294074976929,0.3859097188879647,3.342656418372852,4.245509208958539,1074.3191954022986,1074.1014404296875,4.210344365686105,0.8505747126436781
2,nu,"(0.3343, +inf)",87,iteration2_max_monolith_temp,iter2,primary,0.34891715025061737,0.3350294074976929,0.3859097188879647,3.7673635057471238,4.822717489397295,1036.7597701149425,1036.5015869140625,4.603438336400029,0.8390804597701149
2,nu,"(0.3343, +inf)",87,iteration2_max_global_stress,iter2,primary,0.34891715025061737,0.3350294074976929,0.3859097188879647,6.002950821799791,7.7035273798348385,173.69045977011493,173.4287872314453,7.708975335713988,0.8850574712643678
2,nu,"(0.3343, +inf)",87,iteration2_wall2,iter2,primary,0.34891715025061737,0.3350294074976929,0.3859097188879647,0.0008131322331875503,0.0009840889615505034,29.929688893071468,29.929819107055664,0.002768027534693217,1.0
2,alpha_base,"(-inf, 9.258e-06]",89,iteration2_keff,iter2,primary,8.66012106433805e-06,6.524645415320756e-06,9.25754264885386e-06,0.00017579793463650615,0.00023279719638826934,1.1044139259064913,1.104451060295105,0.0002928492586508429,0.9325842696629213
2,alpha_base,"(-inf, 9.258e-06]",89,iteration2_max_fuel_temp,iter2,primary,8.66012106433805e-06,6.524645415320756e-06,9.25754264885386e-06,3.9602033773700787,4.8029525802090385,1075.5386516853932,1074.9425048828125,4.663323987115248,0.8876404494382022
2,alpha_base,"(-inf, 9.258e-06]",89,iteration2_max_monolith_temp,iter2,primary,8.66012106433805e-06,6.524645415320756e-06,9.25754264885386e-06,4.521537866485247,5.498787158227606,1038.0061797752808,1037.1768798828125,5.265197463246365,0.8876404494382022
2,alpha_base,"(-inf, 9.258e-06]",89,iteration2_max_global_stress,iter2,primary,8.66012106433805e-06,6.524645415320756e-06,9.25754264885386e-06,5.993979889944699,7.5781106557282785,152.05292134831458,151.28317260742188,8.134841443729709,0.9550561797752809
