level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma
2,alpha_slope,iteration2_monolith_new_temperature,iter2,secondary,-0.04121616278116728,0.018346238425966683,-0.015571160560333223,0.031904032847665464,-0.054917825399973995,-0.04767018772350758,-0.01845140197211758,-0.04767018772350758,-0.15456365854774154,-0.11519780572994263
2,alpha_slope,iteration2_Hcore_after,iter2,secondary,0.1633938953413331,0.527510865549092,0.5600740673461386,0.5055942985664423,-0.00514119091401138,-0.05502289735574166,-0.0032413197411055236,-0.05502289735574166,0.014761873315551382,-0.013311259186205297
2,alpha_slope,iteration2_wall2,iter2,primary,0.4394214712464285,0.3985966951931139,0.43835916034908734,0.3962777645786828,-0.01467016503526674,-0.004777231172785739,-0.034975457890435865,-0.004777231172785739,-0.23672486833836412,-0.22036376567218713
2,SS316_T_ref,iteration1_keff,iter1,secondary,,,-0.04172143236838518,-0.07248536367422011,0.22437329039703954,0.22739747986417985,0.17269527153272615,0.22739747986417985,-0.10262922017181682,-0.06145574063574847
2,SS316_T_ref,iteration1_avg_fuel_temp,iter1,secondary,0.4424578487696409,0.4398190357619396,0.48929653032411613,0.4927776728523638,0.12621050754659777,0.15316772106271082,0.11785702960101498,0.15316772106271082,0.42320200953294124,0.43220088459114586
2,SS316_T_ref,iteration1_max_fuel_temp,iter1,secondary,0.4435789326339155,0.43988876066718985,0.4931436835389728,0.49890735969150235,0.1161476977789775,0.1522720033956774,0.10735193067859718,0.1522720033956774,0.4431148754392227,0.4701120292722584
2,SS316_T_ref,iteration1_max_monolith_temp,iter1,secondary,0.44322064519792576,0.4399022723639328,0.4871659825255623,0.4904513429402085,0.1362638588266124,0.15397793443096247,0.1371580603924747,0.15397793443096247,0.4724294782814672,0.5564437695051044
2,SS316_T_ref,iteration1_max_global_stress,iter1,secondary,0.2508499933580664,0.22043187991174903,0.2604994082198065,0.23668741234870025,0.07327272411076262,0.10269911850496542,0.0733578402550573,0.10269911850496542,0.3519632874223936,0.34498275682518575
2,SS316_T_ref,iteration1_monolith_new_temperature,iter1,secondary,0.4398184376586389,0.4398273159526771,0.48442420337589104,0.4878346044810197,0.17015773169120013,0.18688097995636957,0.16649472052816153,0.18688097995636957,0.45325701739835983,0.4886217836726398
2,SS316_T_ref,iteration1_Hcore_after,iter1,secondary,0.023493279067346003,-0.014193863006368051,0.021370702671771498,-0.01610185818551036,0.14455536971858557,0.10929949637887004,0.1457491487394808,0.10929949637887004,0.1516359688959155,0.09908296431016038
2,SS316_T_ref,iteration1_wall2,iter1,secondary,0.06292567419912845,0.011856158735594235,0.05926406863135151,0.008832239460306113,0.07491581890785116,0.08299099723213946,0.07940722813865547,0.08299099723213946,0.16559648294591472,0.20863135168913222
2,SS316_T_ref,iteration2_keff,iter2,primary,-0.01909841818302983,0.023074862149068752,-0.02511581753475059,0.012546905747432653,0.09597799999138895,0.08998952044274137,0.08237143760463367,0.08998952044274137,0.20623711425816404,0.1505737026951514
2,SS316_T_ref,iteration2_avg_fuel_temp,iter2,secondary,0.40999448355697726,0.4007304921024209,0.4943249724666604,0.49797003771739623,0.03955892214826243,0.07780424669521227,0.03923987889434039,0.07780424669521227,0.4827885463071397,0.5107796496577062
2,SS316_T_ref,iteration2_max_fuel_temp,iter2,primary,0.4103090425654511,0.40043787308119044,0.4984798531644186,0.5030876684169716,0.03663047579339633,0.0778067250806842,0.03191666356447464,0.0778067250806842,0.5680731396173795,0.5839529815402132
2,SS316_T_ref,iteration2_max_monolith_temp,iter2,primary,0.4101920419025097,0.400765443359445,0.5027293510620752,0.5119109600618126,0.0302379617323212,0.07554352178266557,0.030302230143108306,0.07554352178266557,0.451852295395174,0.46408896766977775
2,SS316_T_ref,iteration2_max_global_stress,iter2,primary,0.15619949085695073,0.13559415375498188,0.15807609342723306,0.13217423099254097,0.006652702600219034,0.051433496336921916,0.015310687942547923,0.051433496336921916,0.2880488159675621,0.284466616132023
2,SS316_T_ref,iteration2_monolith_new_temperature,iter2,secondary,0.41002439334455293,0.4012347170817563,0.521430761147982,0.5223306994379993,0.08391807357756892,0.11621812810484723,0.07627645386830836,0.11621812810484723,0.49525622731141355,0.5202765339804247
2,SS316_T_ref,iteration2_Hcore_after,iter2,secondary,-0.07842596768847071,-0.03612757081177506,0.005445444564702078,-0.029845459843094998,-0.08242479631379851,0.05063662251400451,-0.08350324014143286,0.05063662251400451,-0.5798242787459891,-0.563026436131575
2,SS316_T_ref,iteration2_wall2,iter2,primary,0.03632122912208684,-0.015330199124033739,0.026404148507507455,-0.022027424293795433,-0.041748145716469565,-0.02362841683359444,-0.06904050533147722,-0.02362841683359444,0.07222110885997383,0.1051523134195101
2,SS316_k_ref,iteration1_keff,iter1,secondary,,,-0.23741040879032305,-0.21797699089665096,0.010477359750237045,-0.04676303646932017,0.07362998656977154,-0.04676303646932017,-0.32076409725517524,-0.32681943192492835
2,SS316_k_ref,iteration1_avg_fuel_temp,iter1,secondary,-0.7138864552909401,-0.7021389194008325,-0.7999990544849361,-0.8190655481508101,-0.18167557207851784,-0.1428298910453967,-0.17543277766315107,-0.1428298910453967,-0.7577617498060866,-0.7774541136370816
2,SS316_k_ref,iteration1_max_fuel_temp,iter1,secondary,-0.7163854428760081,-0.7021435892639928,-0.7989543143072028,-0.8177735373414341,-0.16576874374515577,-0.13868931211059957,-0.15711456427404166,-0.13868931211059957,-0.7450654990390269,-0.7480998984964514
2,SS316_k_ref,iteration1_max_monolith_temp,iter1,secondary,-0.7155127681823733,-0.702088976098102,-0.8067493509568197,-0.8209605653497875,-0.1841361654013873,-0.12859711109830096,-0.18578877264569318,-0.12859711109830096,-0.6406561571623465,-0.6642729594790758
2,SS316_k_ref,iteration1_max_global_stress,iter1,secondary,-0.35736647175725483,-0.3291548487918572,-0.35688361978984834,-0.3254289119384803,-0.1340896337608261,-0.11706037629815887,-0.11275656860935306,-0.11706037629815887,-0.6569472663011934,-0.6397591767760686
2,SS316_k_ref,iteration1_monolith_new_temperature,iter1,secondary,-0.7082088501850118,-0.702057588468733,-0.7943009140738222,-0.8224979661169387,-0.2348203842633885,-0.19064099265079265,-0.21734987966959435,-0.19064099265079265,-0.6860417916080338,-0.7303636979815319
2,SS316_k_ref,iteration1_Hcore_after,iter1,secondary,0.04530657428888134,0.0346960090976631,0.021437922284223226,0.0020684315081623914,-0.17959741590155373,-0.1400468108607136,-0.15927602310676045,-0.1400468108607136,0.0024680392451850116,-0.010693722665752524
2,SS316_k_ref,iteration1_wall2,iter1,secondary,0.02650033986762366,0.017010466000462264,0.022398626809759136,0.013497578362896894,-0.1615363235945056,-0.14996639967088202,-0.16570257541829286,-0.14996639967088202,-0.504704418860379,-0.4957201564876834
2,SS316_k_ref,iteration2_keff,iter2,primary,-0.06585776320330117,-0.05884683823609524,-0.038499850033100406,-0.02313420182868009,0.03755779171203192,0.03397836209972351,0.04295270477633146,0.03397836209972351,0.05829596449152528,0.03483921128145428
2,SS316_k_ref,iteration2_avg_fuel_temp,iter2,secondary,-0.6450598487873319,-0.6157285036838808,-0.8487820118248782,-0.8482871696735252,-0.06939829237457794,-0.07387270127405926,-0.05786832048522832,-0.07387270127405926,-0.70854666334237,-0.6770917518221673
