case_id,folder_name,subfolder_name,iteration,平均燃料温度,燃料最高温度,单体最高温度,全局最大应力,fuel_new_temperature,monolith_new_temperature,fuel_temp_error,monolith_temp_error,max_fuel_center_temp,max_monolith_temp,Hcore_before,Hcore_after,wall1,wall2,pitch_fuel,pitch_HP,Hcore,monolith_volume_change,total_time,thermal_run_time
2025_05_28_22_02_26_18,2025_05_28_22_02_26,18,2,970.34,1036.43,1024.98,129.4,970.3366017262018,943.12766885427,0.03247291273647786,0.004240323950016267,1036.4323458606796,1024.9787906684955,152.16441623381496,152.16497681787837,8.84,29.91861189446482,1.5999874167262036,2.7712594972406626,152.16497681787837,1.3549697592987826e-05,517.5163908004761,N/A
2025_05_28_22_02_26_18,2025_05_28_22_02_26,18,3,970.34,1036.43,1024.98,129.4,970.3372155737694,943.1278462150932,8.427734861931474e-06,3.887133128042338e-06,1036.4330740296205,1024.9779481557848,152.16497681787837,152.16497733397085,8.84,29.9186116828048,1.5999999886807574,2.7712812725047002,152.16497733397085,1.2110775567764553e-08,521.7792897224426,N/A
2025_05_28_22_02_26_1,2025_05_28_22_02_26,1,1,967.73,1030.77,1025.94,130.55,967.7321670030726,942.9350096944933,1.11754337573736,1.0760418572292774,1030.768859156994,1025.9385724784584,150.0,152.54999903457895,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.54999903457895,0.03777395358039755,462.7044608592987,N/A
2025_05_28_22_02_26_1,2025_05_28_22_02_26,1,2,969.45,1034.15,1024.96,129.38,969.4549481442273,943.1310557918869,0.024529801865280403,0.004314868615893923,1034.1485409966085,1024.9593695829658,152.54999903457895,152.55068450516012,8.84,29.918607450327872,1.5999871790626643,2.7712590855953376,152.55068450516012,1.3065844944497798e-05,481.2552270889282,N/A
2025_05_28_22_02_26_1,2025_05_28_22_02_26,1,3,969.46,1034.15,1024.96,129.38,969.4554292110344,943.1312788863129,6.685666788598013e-06,4.88909191662302e-06,1034.1486687141892,1024.9582961994292,152.55068450516012,152.55068528524117,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,152.55068528524117,1.4555458625105108e-08,476.07577323913574,N/A
2025_05_28_22_02_26_22,2025_05_28_22_02_26,22,1,967.5,1030.17,1025.94,130.55,967.4991269929152,942.9350096944933,1.1171533506157576,1.0760418572292774,1030.166924485592,1025.9385724784584,150.0,152.31080790723956,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.31080790723956,0.03626285967996609,472.6414723396301,N/A
2025_05_28_22_02_26_22,2025_05_28_22_02_26,22,2,969.85,1035.19,1024.97,129.39,969.8538161328462,943.128961041503,0.03363883581247123,0.004268764292422333,1035.1850940946142,1024.9714208148798,152.31080790723956,152.31141779227494,8.84,29.9186102089205,1.5999873265866709,2.771259341114412,152.31141779227494,1.3353003376649846e-05,520.1345717906952,N/A
2025_05_28_22_02_26_22,2025_05_28_22_02_26,22,3,969.85,1035.19,1024.97,129.39,969.8544594340331,943.1291457564498,8.89104709678688e-06,4.048195326480181e-06,1035.1857877235607,1024.9704564349508,152.31141779227494,152.31141837314226,8.84,29.918609989244384,1.5999999882520686,2.7712812717621893,152.31141837314226,1.2275875132895023e-08,524.3837239742279,N/A
2025_05_28_22_02_26_25,2025_05_28_22_02_26,25,1,967.5,1030.17,1025.94,130.55,967.4991269929152,942.9350096944933,1.1171533506157576,1.0760418572292774,1030.166924485592,1025.9385724784584,150.0,152.3108079068501,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.3108079068501,0.03626285967750163,475.4130926132202,N/A
2025_05_28_22_02_26_25,2025_05_28_22_02_26,25,2,969.85,1035.19,1024.97,129.39,969.8538161328462,943.128961041503,0.03363883581247123,0.004268764292422333,1035.1850940946142,1024.9714208148798,152.3108079068501,152.31141779188448,8.84,29.9186102089205,1.5999873265866709,2.771259341114412,152.31141779188448,1.3353003382963212e-05,474.52210092544556,N/A
