E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,iteration3_avg_fuel_temp,iteration3_max_fuel_temp,iteration3_max_monolith_temp,iteration3_max_global_stress,iteration3_monolith_new_temperature,iteration3_Hcore_after,iteration3_wall2
-70775914.7404429,223146352612.84665,0.3514677207997754,1.0162679207641366e-05,4.883387758892089e-09,965.1516342556412,22.773171518244958,0.0129802235056402,913.49,932.78,926.198011339298,47.36,903.1223682008756,152.17264044080582,29.896961916908012,915.35,937.65,926.0525865970388,47.1,903.1513578279596,152.17272935966255,29.89696879053789,915.35,937.65,926.0526128787244,47.1,903.1513316017796,152.17272927921937,29.896968782192538
-70840860.95900083,215555302694.9142,0.2771837642834063,1.2025630646076404e-05,5.020200298595626e-09,906.10276078656,24.781577839135316,0.0151259482636351,914.07,934.36,926.1980315769796,45.94,903.122365936991,152.44730979494958,29.91704820319064,916.38,940.43,926.0510522165044,45.68,903.1514620924293,152.44740842894052,29.91705532019382,916.38,940.43,926.0510790872816,45.68,903.1514168108276,152.44740827543794,29.917055303637845
-81450539.34541687,171307981384.35663,0.3503623967572637,1.0538992839932644e-05,4.859982153172763e-09,929.1883274327676,22.52421791726538,0.0133713902264396,913.66,933.24,926.1980315769796,29.73,903.122365936991,152.21980425993,29.903362378168985,915.68,938.54,926.0526349571436,29.57,903.1513331426678,152.2198945309205,29.90336933006955,915.68,938.54,926.0526378905269,29.57,903.1512981632508,152.21989442191278,29.90336931796097
-65420971.45970977,219001625324.4597,0.3251429194751031,7.98846870373037e-06,5.05137384942378e-09,885.9295764047881,21.38796811371681,0.0140042242904467,913.45,932.69,926.1980315769796,39.36,903.122365936991,151.90548292699634,29.854655679528385,915.59,938.3,926.0520046933414,39.14,903.1516115349071,151.90556464524815,29.85466199899824,915.59,938.3,926.0520401739552,39.14,903.1515793415306,151.9055645552925,29.8546619902112
-63481107.27763133,199985937141.03284,0.2914328624697915,9.555789860811475e-06,5.887475024943965e-09,853.4635230147687,25.6732141233046,0.0109759996490012,914.62,935.85,926.1980315769796,39.61,903.122365936991,152.25407730390626,29.890229471359348,916.14,939.77,926.0510085023392,39.39,903.1515685175858,152.25417348154747,29.890236685211665,916.14,939.77,926.051008092457,39.39,903.1515451037606,152.25417340443428,29.89023667688628
-73839880.961688,187809051760.58652,0.3221526451274666,8.410700242832187e-06,4.9150075423999105e-09,953.281263202304,22.474056000484843,0.0137969410085763,913.65,933.23,926.1980315769796,30.38,903.122365936991,151.94045627555437,29.859597761559563,915.84,938.97,926.052057779876,30.21,903.151580116378,151.9405384976323,29.8596040710505,915.84,938.97,926.0520979952988,30.21,903.1515479443028,151.9405384070845,29.85960406184428
-74272036.0752766,191175441182.54007,0.2735037456206031,1.0926112665918152e-05,5.120969037271055e-09,943.454502785571,23.966525960183173,0.013043267986416,914.36,935.16,926.1980315769796,35.14,903.122365936991,152.31478369608584,29.898471541284664,916.51,940.78,926.0510112650148,34.94,903.151535563886,152.31487869693518,29.89847843574963,916.51,940.78,926.0510299444138,34.94,903.151498829166,152.3148785772952,29.89847842434997
-72561827.56713279,146751493839.23914,0.3512904720257696,8.726899272638267e-06,4.930413466310685e-09,985.735360552643,21.57936744886489,0.0156566381134494,913.12,931.79,926.1980315769796,21.84,903.122365936991,151.98580217258367,29.870927608207214,915.75,938.71,926.0525430127332,21.72,903.1514814608308,151.9858856396585,29.870934139913363,915.75,938.71,926.0525759347428,21.72,903.1514416400854,151.98588552550132,29.87093412817153
-67068263.69875961,179357982326.29767,0.3176838749804236,1.1137040758910368e-05,4.287610652460473e-09,1025.420678850441,24.85561052824635,0.0136438901555139,913.62,933.15,926.1980315769796,34.58,903.122365936991,152.2075328544059,29.89810224225793,915.56,938.19,926.0522724241728,34.38,903.151396970336,152.20762067875123,29.89810876041193,915.56,938.19,926.0523058725882,34.38,903.1513656564698,152.2076205840203,29.898108749928056
-75961779.99957277,161974347007.61856,0.2989441096208941,8.176149697946648e-06,5.4525579713041324e-09,1032.982608732793,23.70958106103634,0.0126067964561014,913.66,933.25,926.1980315769796,23.09,903.122365936991,151.9962947602277,29.85998050638332,915.52,938.11,926.051452662902,22.96,903.151653244324,151.99638113170832,29.859987069368007,915.52,938.11,926.0514588209614,22.96,903.1516291904944,151.99638106077035,29.85998706331029
